instance nr,time,solutions,nodes,failures

1,0.3,1,5,0

2,0.33,5,69,20

3,0.34,2,17,1

4,0.38,7,269,113

5,0.4,1,160,132

6,0.42,5,337,200

7,0.42,3,133,89

8,0.5,4,241,96

9,0.45,3,71,11

10,0.53,7,433,200

11,0.66,8,539,201

12,0.9,14,4192,2089

13,1.0,11,6107,4534

14,0.71,9,603,206

15,0.84,14,3039,938

16,1.21,9,5531,3432

17,0.82,1,25,0

18,2.23,16,18884,13593

19,4.13,10,36341,27312

20,0.99,1,43,11

21,4.3,11,41077,27318

22,98.56,8,808498,634462

23,1.72,15,8857,5984

24,2.24,16,17031,10645

25,7.73,14,60066,41426

26,2.33,18,15546,9298

27,1.24,17,2819,642

28,2.58,18,21406,13892

29,1.41,19,3719,603

30,17.97,20,152134,111224

31,1.3,18,4132,1991

32,300,-1,-1

33,1.26,917,186

34,2.768,18951,11056

35,4.144,37138,22885

36,3.108,21366,12116

37,300,-1,-1

38,300,-1,-1

39,1.40,491856,347205

40,300,-1,-1
